"Stkcd","Trddt","Opnprc","Clsprc"
"600000","2020-01-02","12.470","12.470"
"600000","2020-01-03","12.570","12.600"
"600000","2020-01-06","12.520","12.460"
"600000","2020-01-07","12.510","12.500"
"600000","2020-01-08","12.410","12.320"
"600000","2020-01-09","12.390","12.370"
"600000","2020-01-10","12.370","12.390"
"600000","2020-01-13","12.400","12.410"
"600000","2020-01-14","12.400","12.430"
"600000","2020-01-15","12.410","12.250"
"600000","2020-01-16","12.280","12.200"
"600000","2020-01-17","12.220","12.230"
"600000","2020-01-20","12.260","12.250"
"600000","2020-01-21","12.200","12.080"
"600000","2020-01-22","11.700","11.770"
"600000","2020-01-23","11.750","11.350"
"600000","2020-02-03","10.220","10.470"
"600000","2020-02-04","10.510","10.660"
"600000","2020-02-05","10.690","10.700"
"600000","2020-02-06","10.810","10.790"
"600000","2020-02-07","10.730","10.860"
"600000","2020-02-10","10.760","10.770"
"600000","2020-02-11","10.820","10.860"
"600000","2020-02-12","10.840","10.860"
"600000","2020-02-13","10.820","10.760"
"600000","2020-02-14","10.760","10.860"
"600000","2020-02-17","10.880","11.180"
"600000","2020-02-18","11.090","11.060"
"600000","2020-02-19","11.080","11.110"
"600000","2020-02-20","11.170","11.230"
"600000","2020-02-21","11.230","11.300"
"600000","2020-02-24","11.230","11.160"
"600000","2020-02-25","11.070","11.090"
"600000","2020-02-26","11.010","11.200"
"600000","2020-02-27","11.200","11.210"
"600000","2020-02-28","11.110","10.850"
"600000","2020-03-02","10.950","11.040"
"600000","2020-03-03","11.130","11.060"
"600000","2020-03-04","11.010","11.030"
"600000","2020-03-05","11.080","11.320"
"600000","2020-03-06","11.230","11.120"
"600000","2020-03-09","11.000","10.780"
"600000","2020-03-10","10.710","10.870"
"600000","2020-03-11","10.930","10.770"
"600000","2020-03-12","10.750","10.640"
"600000","2020-03-13","10.400","10.700"
"600000","2020-03-16","10.700","10.510"
"600000","2020-03-17","10.680","10.430"
"600000","2020-03-18","10.400","10.210"
"600000","2020-03-19","10.190","9.940"
"600000","2020-03-20","10.120","10.090"
"600000","2020-03-23","9.950","9.840"
"600000","2020-03-24","10.030","10.060"
"600000","2020-03-25","10.200","10.150"
"600000","2020-03-26","10.100","10.230"
"600000","2020-03-27","10.350","10.240"
"600000","2020-03-30","10.180","10.280"
"600000","2020-03-31","10.300","10.150"
"600000","2020-04-01","10.110","10.090"
"600000","2020-04-02","10.090","10.200"
"600000","2020-04-03","10.130","10.150"
"600000","2020-04-07","10.300","10.280"
"600000","2020-04-08","10.250","10.240"
"600000","2020-04-09","10.260","10.200"
"600000","2020-04-10","10.220","10.210"
"600000","2020-04-13","10.150","10.110"
"600000","2020-04-14","10.170","10.250"
"600000","2020-04-15","10.200","10.180"
"600000","2020-04-16","10.100","10.160"
"600000","2020-04-17","10.180","10.200"
"600000","2020-04-20","10.150","10.110"
"600000","2020-04-21","10.070","10.030"
"600000","2020-04-22","10.020","10.070"
"600000","2020-04-23","10.100","10.060"
"600000","2020-04-24","10.060","10.060"
"600000","2020-04-27","10.150","10.340"
"600000","2020-04-28","10.360","10.330"
"600000","2020-04-29","10.350","10.610"
"600000","2020-04-30","10.580","10.630"
"600000","2020-05-06","10.440","10.460"
"600000","2020-05-07","10.450","10.390"
"600000","2020-05-08","10.440","10.440"
"600000","2020-05-11","10.440","10.430"
"600000","2020-05-12","10.440","10.340"
"600000","2020-05-13","10.310","10.380"
"600000","2020-05-14","10.320","10.300"
"600000","2020-05-15","10.360","10.280"
"600000","2020-05-18","10.280","10.320"
"600000","2020-05-19","10.450","10.350"
"600000","2020-05-20","10.370","10.410"
"600000","2020-05-21","10.440","10.330"
"600000","2020-05-22","10.300","10.140"
"600000","2020-05-25","10.300","10.270"
"600000","2020-05-26","10.320","10.270"
"600000","2020-05-27","10.280","10.350"
"600000","2020-05-28","10.360","10.530"
"600000","2020-05-29","10.450","10.570"
"600000","2020-06-01","10.630","10.650"
"600000","2020-06-02","10.580","10.680"
"600000","2020-06-03","10.750","10.700"
"600000","2020-06-04","10.800","10.640"
"600000","2020-06-05","10.680","10.670"
"600000","2020-06-08","10.640","10.610"
"600000","2020-06-09","10.620","10.680"
"600000","2020-06-10","10.710","10.580"
"600000","2020-06-11","10.580","10.480"
"600000","2020-06-12","10.580","10.550"
"600000","2020-06-15","10.410","10.350"
"600000","2020-06-16","10.440","10.450"
"600000","2020-06-17","10.440","10.470"
"600000","2020-06-18","10.420","10.500"
"600000","2020-06-19","10.560","10.610"
"600000","2020-06-22","10.570","10.550"
"600000","2020-06-23","10.510","10.480"
"600000","2020-06-24","10.540","10.600"
"600000","2020-06-29","10.630","10.570"
"600000","2020-06-30","10.590","10.580"
"600000","2020-07-01","10.590","10.740"
"600000","2020-07-02","10.730","11.050"
"600000","2020-07-03","11.080","11.190"
"600000","2020-07-06","11.300","12.200"
"600000","2020-07-07","12.450","12.110"
"600000","2020-07-08","12.170","12.140"
"600000","2020-07-09","12.260","11.990"
"600000","2020-07-10","11.980","11.600"
"600000","2020-07-13","11.600","11.660"
"600000","2020-07-14","11.610","11.380"
"600000","2020-07-15","11.470","11.180"
"600000","2020-07-16","11.250","11.200"
"600000","2020-07-17","11.370","11.270"
"600000","2020-07-20","11.320","11.520"
"600000","2020-07-21","11.590","11.540"
"600000","2020-07-22","11.550","11.620"
"600000","2020-07-23","10.990","10.840"
"600000","2020-07-24","10.780","10.420"
"600000","2020-07-27","10.550","10.370"
"600000","2020-07-28","10.460","10.390"
"600000","2020-07-29","10.350","10.510"
"600000","2020-07-30","10.510","10.400"
"600000","2020-07-31","10.410","10.360"
"600000","2020-08-03","10.400","10.410"
"600000","2020-08-04","10.460","10.660"
"600000","2020-08-05","10.640","10.510"
"600000","2020-08-06","10.570","10.530"
"600000","2020-08-07","10.510","10.430"
"600000","2020-08-10","10.420","10.520"
